Issue Type,Epic Name,Epic Link,Summary,Description,Story Points,Priority,Components,Labels
Story,,PLAT - Platform & Foundation,Catalogue the Mongock changelogs,"As a tech lead, I want all 83 migration changelog classes read and summarised for migration-relevant behaviour, so that the schema and data-migration design don't silently drop a years-old data fix.

Acceptance Criteria:
- Each changelog's intent is summarised in one line
- Changelogs with an equivalent needed in the new schema are flagged explicitly
- Findings feed directly into the Data Migration epic",8,Medium,Platform,"reference-material-capture,Phase-A"
Epic,IAM - Identity & Access Service,,Identity & Access Service,"Authenticate people and be the single source of truth for what they may do: users, workspaces, memberships, roles and permission grants.",,,Identity,Phase-A
Story,,IAM - Identity & Access Service,Create the identity_db schema,"As a backend developer, I want EF Core migrations for instances, users, workspaces and their supporting tables, so that the service has a real database to build against.

Acceptance Criteria:
- Matches the DDL in Database per Service §5.1
- Migrations run cleanly against a fresh Postgres instance
- Soft-delete and audit conventions from BuildingBlocks.Persistence applied",5,High,Identity,"instance-&-tenancy-foundation,Phase-A"
Story,,IAM - Identity & Access Service,Collapse Tenant and Organization into one Instance record,"As a backend developer, I want the domain model to represent instance-level config as a single row, so that the two-collection ambiguity in the current system doesn't carry into the new one.

Acceptance Criteria:
- One instances row per deployment, holding branding and enabled-auth-method config
- No Tenant/Organization duplication anywhere in the schema
- Migration mapping documented for the data-migration team",5,High,Identity,"instance-&-tenancy-foundation,Phase-A"
Story,,IAM - Identity & Access Service,Implement instance configuration endpoints,"As an instance administrator, I want to read and update instance-level configuration, so that I can set branding and enabled login methods without touching the database directly.

Acceptance Criteria:
- GET returns the current configuration
- PUT updates it and is restricted to instance admins
- Response matches the current /tenants/current shape at the gateway",3,Medium,Identity,"instance-&-tenancy-foundation,Phase-A"
Story,,IAM - Identity & Access Service,Implement signup,"As a new user, I want to sign up with an email and password, so that I get an account, a default workspace and admin access to it in one step.

Acceptance Criteria:
- Creates the user, a default workspace, three roles (Admin/Developer/Viewer) and the role assignment in one transaction
- Duplicate email returns a clear validation error
- UserSignedUp event published via the outbox",8,High,Identity,"user-registration-&-authentication,Phase-A"
Story,,IAM - Identity & Access Service,Implement login,"As a registered user, I want to log in with my email and password, so that I get an authenticated session.

Acceptance Criteria:
- Password verified with Argon2id
- Disabled or unverified accounts are rejected with a clear reason
- Returns UserContext (userId, instanceId, roleIds) to the caller",5,High,Identity,"user-registration-&-authentication,Phase-A"
Story,,IAM - Identity & Access Service,Implement first-user / instance-admin signup,"As the person deploying a fresh instance, I want the very first signup to automatically receive instance-admin rights, so that there's a bootstrapping path with no manual database edit.

Acceptance Criteria:
- Only applies when zero users exist on the instance
- Grants MANAGE_INSTANCE_CONFIGURATION-equivalent rights
- Subsequent signups follow the normal path",3,Medium,Identity,"user-registration-&-authentication,Phase-A"
Story,,IAM - Identity & Access Service,Implement GET /users/me,"As the Angular client, I want an endpoint returning the current user's profile, so that the app shell can render the signed-in user without a second round trip after login.

Acceptance Criteria:
- Returns profile, workspace list summary and feature-flag-relevant fields
- 401 when no valid session/token is present
- Response shape matches the current contract",2,High,Identity,"user-registration-&-authentication,Phase-A"
Story,,IAM - Identity & Access Service,Implement profile update,"As a user, I want to update my display name and photo, so that my profile reflects who I am.

Acceptance Criteria:
- Photo upload writes to object storage, not the database
- Validation matches current field constraints
- Update is reflected immediately in GET /users/me",3,Medium,Identity,"user-registration-&-authentication,Phase-A"
Story,,IAM - Identity & Access Service,Implement forgot-password,"As a user who forgot their password, I want to request a reset link, so that I can regain access to my account.

Acceptance Criteria:
- Issues a short-lived token and publishes UserPasswordResetRequested
- Response is identical whether or not the email exists, to avoid account enumeration
- Token expiry matches the documented window",5,High,Identity,"password-reset-&-email-verification,Phase-A"
Story,,IAM - Identity & Access Service,Implement reset-password,"As a user with a valid reset token, I want to set a new password, so that I can log in again.

Acceptance Criteria:
- Token is single-use and expires after the documented window
- New password is hashed with Argon2id
- Invalid or expired tokens return a clear, non-leaking error",3,High,Identity,"password-reset-&-email-verification,Phase-A"
Story,,IAM - Identity & Access Service,Implement email verification,"As a newly signed-up user, I want to verify my email address via a link, so that the platform knows the address is real.

Acceptance Criteria:
- Verification token issuance publishes UserEmailVerificationRequested
- Verify endpoint marks the account verified and is idempotent on re-click
- Resend-verification endpoint respects a rate limit",3,Medium,Identity,"password-reset-&-email-verification,Phase-A"
Story,,IAM - Identity & Access Service,Implement Google OAuth2 login,"As a user, I want to sign in with my Google account, so that I don't need a separate password for this platform.

Acceptance Criteria:
- Standard authorization-code flow with PKCE
- First-time login auto-provisions a user record linked via external_logins
- Existing email match links rather than duplicates the account",5,Medium,Identity,"oauth--oidc-login,Phase-A"
Story,,IAM - Identity & Access Service,Implement GitHub OAuth2 login,"As a user, I want to sign in with my GitHub account, so that I have another social login option.

Acceptance Criteria:
- Same flow shape as Google login
- Handles GitHub's email-may-be-private case explicitly",5,Medium,Identity,"oauth--oidc-login,Phase-A"
Story,,IAM - Identity & Access Service,Implement generic OIDC provider support,"As an instance administrator, I want to configure an arbitrary OIDC provider (e.g. for enterprise SSO), so that my organisation can use its existing identity provider.

Acceptance Criteria:
- Provider metadata configurable without a code change
- Claims mapping is configurable
- Documented setup guide for a common provider (Okta/Azure AD) as a worked example",8,Low,Identity,"oauth--oidc-login,Phase-A"
Story,,IAM - Identity & Access Service,Implement workspace creation with default roles,"As a user, I want to create a workspace and automatically get Administrator/Developer/App Viewer roles for it, so that I have a working permission structure from the moment the workspace exists.

Acceptance Criteria:
- Three roles created with the correct default grants, matching the current AppsmithRole definitions
- Creator is assigned to Administrator
- All of this happens in one local transaction",8,High,Identity,"workspace-management,Phase-A"
Story,,IAM - Identity & Access Service,Implement workspace CRUD,"As a workspace administrator, I want to view, rename and delete my workspace, so that I can manage its lifecycle.

Acceptance Criteria:
- Rename validates uniqueness where required
- Delete initiates the WorkspaceDeleted saga rather than deleting synchronously
- Only Administrators can delete a workspace",5,High,Identity,"workspace-management,Phase-A"
Story,,IAM - Identity & Access Service,Implement workspace list for the current user,"As the Angular client, I want an endpoint returning every workspace the current user belongs to, so that the home screen can render the workspace switcher.

Acceptance Criteria:
- Returns only workspaces the user is a member of
- Includes the user's effective role per workspace
- Matches the current /workspaces/home contract",3,High,Identity,"workspace-management,Phase-A"
Story,,IAM - Identity & Access Service,Implement workspace member list and role change,"As a workspace administrator, I want to view members and change a member's role, so that I can manage who has what access.

Acceptance Criteria:
- Role change publishes RoleAssignmentChanged
- Only users with assign:permissionGroups may change roles
- Cannot remove the last Administrator from a workspace",5,High,Identity,"workspace-management,Phase-A"
Story,,IAM - Identity & Access Service,Implement invite users to a workspace,"As a workspace administrator, I want to invite people by email to a specific role, so that my team can start collaborating.

Acceptance Criteria:
- Creates a placeholder user if the email doesn't exist yet
- Publishes WorkspaceMemberAdded for the Notifications service to send the invite email
- Bulk-invite (multiple emails in one call) is supported",8,High,Identity,"workspace-management,Phase-A"
Story,,IAM - Identity & Access Service,Implement leave-workspace,"As a workspace member, I want to remove myself from a workspace, so that I can stop being associated with a workspace I no longer need.

Acceptance Criteria:
- The last remaining Administrator cannot leave without transferring the role first
- Publishes WorkspaceMemberRemoved
- Session/role-set cache invalidated immediately for that user",3,Medium,Identity,"workspace-management,Phase-A"
Story,,IAM - Identity & Access Service,Implement role and permission_grants schema and CRUD,"As a backend developer, I want tables and endpoints for roles and their grants, so that the authorization model has somewhere to live.

Acceptance Criteria:
- Matches the identity_db DDL for roles/role_assignments/permission_grants
- Unique constraint prevents duplicate grants
- System roles (Admin/Developer/Viewer) are flagged is_system and protected from deletion",8,High,Identity,"roles-&-permission-grants-rbac,Phase-A"
Story,,IAM - Identity & Access Service,Apply the permission cascade graph on resource creation,"As a backend developer, I want new resources to receive grants derived from the workspace's roles via the ported permission graph, so that a new application/page/action is correctly accessible the moment it's created.

Acceptance Criteria:
- Uses BuildingBlocks.Authorization's ported graph, not a local reimplementation
- Verified against the current PolicyGeneratorCE cascade cases
- Covers both hierarchy (parent-to-child) and lateral (same-resource) grants",8,High,Identity,"roles-&-permission-grants-rbac,Phase-A"
Story,,IAM - Identity & Access Service,Publish permission change events via the outbox,"As a backend developer, I want PermissionGrantChanged and RoleAssignmentChanged published transactionally whenever grants or assignments change, so that downstream services can keep their authz_grants projections current.

Acceptance Criteria:
- Every grant/assignment mutation writes to the outbox in the same transaction
- Event payload carries enough detail for a consumer to apply a targeted update
- Verified end-to-end with a test consumer",5,High,Identity,"roles-&-permission-grants-rbac,Phase-A"
Story,,IAM - Identity & Access Service,Pre-seed the anonymous role,"As a platform engineer, I want an anonymous role created automatically for every instance, so that making an application public has a role to grant, matching today's behaviour.

Acceptance Criteria:
- Anonymous role exists exactly once per instance
- Role id is discoverable by services that need to grant it (e.g. on changeAccess)
- Covered by an integration test for the public-app flow",3,Medium,Identity,"roles-&-permission-grants-rbac,Phase-A"
Story,,IAM - Identity & Access Service,Implement the ValidateSession gRPC endpoint,"As the API Gateway, I want a fast gRPC call that resolves a session to a UserContext, so that the gateway can authenticate every request without hitting the database each time.

Acceptance Criteria:
- Response includes userId, instanceId, email, roleIds and anonymous/instance-admin flags
- p99 latency documented and load-tested
- Unknown/expired sessions return a clear unauthenticated result, not an exception",5,High,Identity,"session-validation-grpc-api,Phase-A"
Story,,IAM - Identity & Access Service,Implement RevokeUserSessions,"As the API Gateway, I want a gRPC call that immediately invalidates a user's cached sessions, so that hard revocations (removed from workspace, deactivated) take effect instantly.

Acceptance Criteria:
- Called on WorkspaceMemberRemoved and UserDeactivated
- Gateway's Redis session cache is cleared for that user within the call
- Covered by an integration test asserting the next request is unauthenticated",5,High,Identity,"session-validation-grpc-api,Phase-A"
Story,,IAM - Identity & Access Service,Wire outbox publishing for every identity event,"As a backend developer, I want every domain event listed in the Contracts & Events catalog published reliably, so that every consuming service (Application, Datasource, Notifications, Gateway) gets a complete, ordered event stream.

Acceptance Criteria:
- Every event type in the catalog has a corresponding outbox write path
- Dispatcher publishes to RabbitMQ within the documented latency budget
- Verified with an integration test per event type",5,High,Identity,"identity-event-publishing,Phase-A"
Story,,IAM - Identity & Access Service,Implement the WorkspaceDeleted saga initiator,"As a workspace administrator, I want deleting a workspace to kick off a tracked cascade across Application, Datasource and Git, so that deletion completes correctly even though the data lives in other services.

Acceptance Criteria:
- Workspace is marked deleting immediately and disappears from listings
- Waits for acknowledgement from all three participants before finalising
- Times out to an operator-visible alert rather than hanging silently forever",8,Medium,Identity,"identity-event-publishing,Phase-A"
Epic,APP - Application Service,,Application Service,"Everything a user authors: applications, pages, layouts, actions, JS objects, themes — one transactional aggregate, kept together so publish stays atomic.",,,Application,Phase-B
Story,,APP - Application Service,Create the application_db schema,"As a backend developer, I want EF Core migrations for applications and application_pages, so that the service has a database matching the target design.

Acceptance Criteria:
- Matches Database per Service §5.2
- draft_*/published_* columns present on applications
- base_id/ref_name unique constraint in place for git branching",5,High,Application,"application-crud,Phase-B"
Story,,APP - Application Service,Implement create application,"As a user, I want to create a new application in a workspace, so that I can start building.

Acceptance Criteria:
- Auto-creates a default Page1 with an empty layout
- Name collisions get a sequence suffix (e.g. 'Untitled application 3')
- Policies/grants inherited from the workspace via the cascade graph",8,High,Application,"application-crud,Phase-B"
Story,,APP - Application Service,Implement application CRUD endpoints,"As a user, I want to view, rename and delete my applications, so that I can manage their lifecycle.

Acceptance Criteria:
- Delete is a soft delete (deleted_at), not a hard delete
- Rename updates the slug consistently
- Read enforces the authz_grants join, returning 404 not 403 on denial",5,High,Application,"application-crud,Phase-B"
Story,,APP - Application Service,Implement the application list for the home screen,"As the Angular client, I want an endpoint returning applications in a workspace with summary metadata, so that the home screen renders without N+1 calls.

Acceptance Criteria:
- Includes name, icon, color, last-edited and last-deployed timestamps
- Excludes soft-deleted applications
- Paginated for workspaces with many applications",3,High,Application,"application-crud,Phase-B"
Story,,APP - Application Service,Implement change-access (make public/private),"As a user, I want to toggle whether my published application is publicly viewable, so that I can share it without requiring a login.

Acceptance Criteria:
- Publishes ApplicationAccessChanged for Identity to grant/revoke the anonymous role
- Change takes effect for new requests immediately
- Only users with makePublic rights may toggle it",5,Medium,Application,"application-crud,Phase-B"
Story,,APP - Application Service,Implement clone application,"As a user, I want to duplicate an application within the same workspace, so that I can experiment without risking the original.

Acceptance Criteria:
- Clone gets a fresh id and base_id, name suffixed appropriately
- All pages, actions, collections and theme are duplicated
- Clone appears immediately in the application list",5,Medium,Application,"application-crud,Phase-B"
Story,,APP - Application Service,Create the pages schema,"As a backend developer, I want the pages table with draft/published columns as designed, so that the draft/published model has a home.

Acceptance Criteria:
- draft_layout and published_layout are jsonb
- Unique (base_id, ref_name) constraint
- Partial index on application_id where deleted_at is null",5,High,Application,"page-&-layout-management,Phase-B"
Story,,APP - Application Service,Implement page CRUD endpoints,"As a user, I want to create, read, update and delete pages within an application, so that I can structure my application into multiple screens.

Acceptance Criteria:
- Create inserts with an empty draft_layout
- Delete is soft, honoured by publish's hard-delete-of-removed-pages step
- Read (edit and view variants) matches current contract shapes",5,High,Application,"page-&-layout-management,Phase-B"
Story,,APP - Application Service,Implement page reorder and make-default,"As a user, I want to reorder pages and set which one is the default, so that navigation and the initial view load correctly.

Acceptance Criteria:
- application_pages ordering updates atomically
- Exactly one page can be default per application
- Reflected immediately in the application_pages projection used by page load",3,Medium,Application,"page-&-layout-management,Phase-B"
Story,,APP - Application Service,Implement clone page,"As a user, I want to duplicate a page including its actions, so that I can reuse a page layout as a starting point elsewhere.

Acceptance Criteria:
- Clones the page's actions and action collections along with it
- New page gets a fresh id and base_id
- Bindings referencing the cloned actions are rewritten to the new ids",5,Medium,Application,"page-&-layout-management,Phase-B"
Story,,APP - Application Service,Implement the binding extractor,"As a backend developer, I want an Esprima-based parser that walks a DSL and extracts every {{ }} binding's referenced identifiers, so that the on-load dependency engine has real input to work with.

Acceptance Criteria:
- Handles nested widget trees of arbitrary depth
- Handles multi-statement JS bindings, not just simple property lookups
- Unit tested against a representative sample of binding syntaxes from the DSL corpus",8,High,Application,"canvas-dsl-save-&-binding-analysis,Phase-B"
Story,,APP - Application Service,Implement the layout save endpoint,"As a user, I want to save my canvas edits, so that my changes persist.

Acceptance Criteria:
- Writes to draft_layout as jsonb with no field-name escaping needed
- Triggers binding analysis and on-load plan recomputation in the same request
- Response matches the current LayoutDTO contract",5,High,Application,"canvas-dsl-save-&-binding-analysis,Phase-B"
Story,,APP - Application Service,Verify binding-analysis parity against the Java+RTS baseline,"As a tech lead, I want the new in-process analyser's output compared against the Java system's RTS-backed output across the full DSL corpus, so that we know binding semantics haven't silently changed before this ships.

Acceptance Criteria:
- Diff run across every fixture in the DSL corpus
- Zero unexplained mismatches, or every mismatch triaged and signed off
- This is a go/no-go checkpoint per the roadmap — result recorded",8,Highest,Application,"canvas-dsl-save-&-binding-analysis,Phase-B"
Story,,APP - Application Service,Implement the dependency DAG builder,"As a backend developer, I want a graph built from binding edges with cycle detection, so that the on-load plan can be computed correctly and cycles are surfaced as errors, not infinite loops.

Acceptance Criteria:
- Cycle detection reports which entities form the cycle
- Graph construction is a pure function, unit-testable without a database",8,High,Application,"on-load-action-dependency-engine,Phase-B"
Story,,APP - Application Service,Implement topological sort into waves,"As a backend developer, I want the dependency graph sorted into parallelisable waves, so that the client receives an onload plan matching today's layoutOnLoadActions shape.

Acceptance Criteria:
- Output type is a list of sets, matching the current wave structure exactly
- Actions with no dependencies land in the earliest possible wave
- Verified against the DSL corpus's existing onload plans",5,High,Application,"on-load-action-dependency-engine,Phase-B"
Story,,APP - Application Service,Persist the on-load plan and run-behaviour flags,"As a backend developer, I want the computed plan written to draft_onload_plan alongside per-action executeOnLoad/runBehaviour flags, so that the editor and viewer both have a correct execution order.

Acceptance Criteria:
- Plan recomputes on every layout save, not just on demand
- runBehaviour toggle endpoints update the plan without requiring a full layout save",3,High,Application,"on-load-action-dependency-engine,Phase-B"
Story,,APP - Application Service,Implement the actions schema and CRUD,"As a backend developer / user, I want the actions table and endpoints for creating, updating and deleting queries, so that users can define what their application queries.

Acceptance Criteria:
- draft_config/published_config store the ActionConfiguration as jsonb
- plugin_id and datasource_id reference Execution/Datasource services by id, not by embedded copy
- CRUD enforces authz_grants exactly as pages do",5,High,Application,"actions-&-js-objects-crud,Phase-B"
Story,,APP - Application Service,Implement JS Objects (action_collections) CRUD,"As a user, I want to create and edit JS Objects containing multiple functions, so that I can write reusable logic bound from the canvas.

Acceptance Criteria:
- draft_body stores the JS source as text, not jsonb
- Update-body endpoint matches the current PUT .../body contract
- Delete cascades to functions defined within it",5,High,Application,"actions-&-js-objects-crud,Phase-B"
Story,,APP - Application Service,Implement move-action between pages,"As a user, I want to move a query from one page to another, so that I can reorganise my application.

Acceptance Criteria:
- Updates page_id and re-runs onload-plan computation for both the old and new page
- Bindings referencing the action by name continue to resolve",3,Medium,Application,"actions-&-js-objects-crud,Phase-B"
Story,,APP - Application Service,Implement executeOnLoad and runBehaviour toggle endpoints,"As a user, I want to control whether and how a query runs automatically, so that I can tune my application's load-time behaviour.

Acceptance Criteria:
- Toggle takes effect on the next onload-plan computation
- Matches the current PUT .../executeOnLoad/{id} and .../runBehaviour/{id} contracts",3,Medium,Application,"actions-&-js-objects-crud,Phase-B"
Story,,APP - Application Service,Implement entity rename with binding rewrite,"As a user, I want to rename a query or widget and have every binding that references it update automatically, so that I don't have to manually find and fix every reference myself.

Acceptance Criteria:
- Scans every page's draft_layout and every action's draft_config for references to the old name
- Rewrite is atomic — either every reference updates or none do
- Matches the current PUT /layouts/refactor and /actions/refactor contracts",8,Medium,Application,"refactor--rename-with-binding-rewrite,Phase-B"
Story,,APP - Application Service,Implement themes CRUD and default assignment,"As a user, I want to select and customise a theme for my application, so that my application has consistent styling.

Acceptance Criteria:
- New applications get a default system theme assigned automatically
- Custom theme properties stored as jsonb
- Applying a theme updates draft_theme_id without touching published_theme_id",5,Medium,Application,"themes-&-custom-js-libraries,Phase-B"
Story,,APP - Application Service,Implement custom JS library add/remove,"As a user, I want to import a JS library and use it in my bindings, so that I can use third-party functionality in my logic.

Acceptance Criteria:
- Library metadata (name/version/url/defs) stored once and referenced, not duplicated per application
- Add/remove endpoints match current .../libraries/{id}/add and /remove contracts",5,Medium,Application,"themes-&-custom-js-libraries,Phase-B"
